id,naam,land,hoofdvestiging,type,groep
generali-at,Generali AT,AT,Graz,Non-Life,Generali
generali-pl,Generali PL,PL,Warsaw,Composite,Generali
generali-cz,Generali CZ,CZ,Prague,Specialty,Generali
zurich-insurance-nl,Zurich Insurance NL,NL,Utrecht,Non-Life,Zurich Insurance
zurich-insurance-be,Zurich Insurance BE,BE,Antwerp,Non-Life,Zurich Insurance
zurich-insurance-de,Zurich Insurance DE,DE,Stuttgart,Specialty,Zurich Insurance
zurich-insurance-fr,Zurich Insurance FR,FR,Paris,Specialty,Zurich Insurance
zurich-insurance-es,Zurich Insurance ES,ES,Madrid,Composite,Zurich Insurance
zurich-insurance-it,Zurich Insurance IT,IT,Milan,Specialty,Zurich Insurance
zurich-insurance-at,Zurich Insurance AT,AT,Graz,Composite,Zurich Insurance
zurich-insurance-pl,Zurich Insurance PL,PL,Warsaw,Composite,Zurich Insurance
zurich-insurance-cz,Zurich Insurance CZ,CZ,Prague,Specialty,Zurich Insurance
munich-re-nl,Munich Re NL,NL,Utrecht,Composite,Munich Re
munich-re-be,Munich Re BE,BE,Antwerp,Composite,Munich Re
munich-re-fr,Munich Re FR,FR,Lyon,Non-Life,Munich Re
munich-re-es,Munich Re ES,ES,Madrid,Composite,Munich Re
munich-re-it,Munich Re IT,IT,Milan,Specialty,Munich Re
munich-re-at,Munich Re AT,AT,Vienna,Composite,Munich Re
munich-re-pl,Munich Re PL,PL,Warsaw,Composite,Munich Re
munich-re-cz,Munich Re CZ,CZ,Prague,Composite,Munich Re
regional-insurer-144,Regional Insurer 144,AT,Graz,Reinsurer,
regional-insurer-145,Regional Insurer 145,FR,Lyon,Composite,
regional-insurer-146,Regional Insurer 146,DE,Stuttgart,Composite,
regional-insurer-147,Regional Insurer 147,AT,Graz,Marine,
regional-insurer-148,Regional Insurer 148,PL,Warsaw,Reinsurer,
regional-insurer-149,Regional Insurer 149,CZ,Prague,Non-Life,
